Player,Nationality,Position,Team,Competition,Age,Born,Matches,Starts,Minutes,90s,Goals,Assists,G+A,G-PK,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,xG,npxG,xAG,npxG+xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Received,Goals_per_90,Assists_Per_90,G+A_per_90,G-PK_per_90,G+A-PK_per_90,xG_per_90,xAG_per_90,xG+xAG_per_90,npxG_per_90,npxG+xAG_per_90,Shots,Shots_on_Target,Shots_on_Target_%,Shots_per_90,Shots_on_Target_per_90,Goals_per_Shot,Goals_per_Shot_on_Target,Distance,Free_Kicks,npxG_per_Shot,G-xG,npxG-xG,Passes_Completed,Passes_Attempted,Pass_Completion_%,Total_Pass_Distance,Total_Progressive_Distance,Short_Passes_Completed,Short_Passes_Attempted,Short_Pass_Completion_%,Medium_Passes_Completed,Medium_Passes_Attempted,Medium_Pass_Completion_%,Long_Passes_Completed,Long_Passes_Attempted,Long_Pass_Completion_%,xA,xA-xAG,Key_Passes,Final_Third_Passes,Passes_into_Penalty_Area,Crosses_into_Penalty_Area,Through_Balls,Switches,Crosses,Passes_Blocked,SCA,SCA_per_90,SCA_Pass_Live,SCA_Pass_Dead,SCA_Take_Ons,SCA_Shots,SCA_Fouled,SCA_Defense,GCA,GCA_per_90,GCA_Pass_Live,GCA_Pass_Dead,GCA_Take_Ons,GCA_Shots,GCA_Fouled,GCA_Defense,Tackles,Tackles_Won,Tackles_Defensive_3rd,Tackles_Middle_3rd,Tackles_Attacking_3rd,Dribblers_Tackled,Dribbles_Challenged,Dribblers_Tackled_%,Challenges_Lost,Blocks,Shots_Blocked,Interceptions,Tackles + Interceptions,Clearances,Errors,Touches,Touches_Defensive_Penalty_Area,Touches_Defensive_Third,Touches_Middle_Third,Touches_Attacking_Third,Touches_Attacking_Penalty_Area,Touches_Live_Ball,Take_Ons_Attempted,Take_Ons_Successful,Take_Ons_Success_%,Tackled_During_Take_On,Tackled_During_Take_On_%,Carries,Carries_Total_Distance,Carries_Progressive_Distance,Carries_Into_Final_3rd,Carries_Into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Second_Yellow_Cards,Fouls_Committed,Fouls_Drawn,Offsides,Penalty_Kicks_Won,Penalty_Kicks_Conceded,Own_Goals,Ball_Recoveries,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won_%
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,1,0,0.0,1.38,0.0,0.0,0.0,24,0,0.07,-0.1,-0.1,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0.0,0.0,0,0,0,0,0,0,1,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,3,3,100.0,0,1,0,1,4,0,0,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101.0,67.0,2,1,0,2,16,0,2,0,1,0,0,0,2,0,1,0.0
James Abankwah,IRL,DF,Udinese,Serie A,20,2004,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12,14,85.7,213,52,4,4,100.0,6,7,85.7,1,2,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,2,0,18,1,13,4,1,0,18,0,0,0.0,0,0.0,7,59.0,35.0,0,0,0,1,10,0,0,2,0,0,0,0,2,1,1,50.0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,2,100.0,41,0,0,0,0.0,2,2,100.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,0,0,4,0,3,1,0,0,4,0,0,0.0,0,0.0,2,16.0,9.0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0.0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,37,1987,7,7,576,6.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,3,16,3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,2,1,50.0,0.31,0.16,0.0,0.0,10,0,0.12,-0.2,-0.2,253,290,87.2,4694,1542,81,88,92.0,155,165,93.9,15,32,46.9,0.0,0.0,1,20,0,0,0,0,0,1,3,0.47,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,7,9,2,0,6,11,54.5,5,11,9,5,16,30,1,365,71,219,139,8,4,365,4,2,50.0,2,50.0,178,958.0,536.0,0,0,7,2,225,0,9,4,0,0,0,0,21,10,6,62.5
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,25,1999,11,11,972,10.8,3,1,4,1,2,3,1,0,3.6,1.2,1.2,2.5,42,73,43,0.28,0.09,0.37,0.09,0.19,0.33,0.11,0.45,0.11,0.23,13,3,23.1,1.2,0.28,0.08,0.33,25,0,0.09,-0.6,-0.2,502,624,80.4,7215,2209,285,322,88.5,175,208,84.1,20,56,35.7,1.2,-0.2,18,52,17,0,8,2,25,12,32,2.96,27,1,2,1,1,0,2,0,1,0,1,0,0,0,18,13,5,7,6,7,21,33.3,14,8,0,9,27,9,0,755,11,108,412,248,22,752,56,23,41.1,32,57.1,418,2594.0,1491.0,27,10,16,17,538,0,15,10,2,0,0,0,62,6,7,46.2
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25,1999,6,5,428,4.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,20,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,204,231,88.3,3609,1183,81,86,94.2,109,120,90.8,10,19,52.6,0.1,0.0,0,12,1,0,0,6,0,1,3,0.63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,8,5,1,9,15,60.0,6,4,2,11,25,22,1,283,29,126,142,17,1,283,3,1,33.3,2,66.7,140,603.0,318.0,0,0,2,2,156,0,2,3,0,0,0,0,25,9,10,47.4
Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,31,1993,8,6,581,6.5,1,2,3,1,0,0,1,0,0.9,0.9,1.2,2.1,15,16,45,0.15,0.31,0.46,0.15,0.46,0.14,0.19,0.33,0.14,0.33,13,4,30.8,2.01,0.62,0.08,0.25,20,0,0.07,0.1,0.1,202,280,72.1,3131,1127,103,128,80.5,80,105,76.2,11,26,42.3,1.0,0.8,10,7,8,2,0,2,17,7,20,3.1,13,3,2,2,0,0,2,0,1,1,0,0,0,0,16,10,7,4,5,14,21,66.7,7,13,3,3,19,13,0,361,23,103,134,127,23,361,12,5,41.7,7,58.3,151,733.0,398.0,7,6,13,7,193,0,10,3,1,0,0,0,34,9,7,56.3
Abel,ESP,DF,Osasuna,La Liga,24,2000,12,9,820,9.1,2,0,2,2,0,0,2,0,0.3,0.3,0.3,0.6,16,35,18,0.22,0.0,0.22,0.22,0.22,0.03,0.03,0.06,0.03,0.06,5,3,60.0,0.55,0.33,0.4,0.67,28,0,0.05,1.7,1.7,272,392,69.4,4666,2165,141,159,88.7,99,140,70.7,25,68,36.8,0.5,-0.3,5,26,5,4,0,1,26,16,12,1.32,9,0,1,0,1,1,2,0,0,0,1,0,0,1,22,16,11,7,4,13,22,59.1,9,14,2,9,31,30,0,490,28,165,218,112,4,490,11,5,45.5,6,54.5,171,1016.0,517.0,19,1,7,5,194,0,8,12,0,0,0,0,46,10,6,62.5
Nabil Aberdin,FRA,MF,Getafe,La Liga,22,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,2,0,0.0,0.68,0.0,0.0,0.0,31,0,0.02,0.0,0.0,36,61,59.0,680,267,12,20,60.0,12,19,63.2,8,13,61.5,0.1,0.0,1,7,2,0,0,1,0,3,3,1.03,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,3,0,1,1,100.0,0,3,0,0,6,5,0,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148.0,74.0,0,0,1,1,36,0,7,6,0,0,0,0,8,10,3,76.9
Oliver Abildgaard,DEN,MF,Como,Serie A,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,1,100.0,21,7,0,0,0.0,1,1,100.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Matthis Abline,FRA,FW,Nantes,Ligue 1,21,2003,11,10,787,8.7,2,0,2,2,0,0,1,0,1.5,1.5,0.7,2.1,20,21,54,0.23,0.0,0.23,0.23,0.23,0.17,0.08,0.24,0.17,0.24,21,8,38.1,2.4,0.91,0.1,0.25,14,0,0.07,0.5,0.5,91,137,66.4,1426,266,43,59,72.9,39,52,75.0,4,9,44.4,1.1,-0.7,6,8,7,0,1,3,8,10,15,1.71,11,0,2,1,1,0,1,0,1,0,0,0,0,0,4,3,1,2,1,1,6,16.7,5,2,0,1,5,14,1,244,10,25,91,133,38,244,28,7,25.0,20,71.4,167,1038.0,405.0,9,11,29,16,198,0,11,14,1,0,0,0,20,12,19,38.7
Abner,BRA,DF,Lyon,Ligue 1,24,2000,8,7,555,6.2,1,0,1,1,0,0,1,0,0.2,0.2,0.4,0.6,16,25,34,0.16,0.0,0.16,0.16,0.16,0.03,0.06,0.09,0.03,0.09,5,3,60.0,0.81,0.49,0.2,0.33,18,0,0.04,0.8,0.8,282,349,80.8,4110,1818,163,182,89.6,89,111,80.2,18,30,60.0,1.5,-0.4,7,21,4,1,1,1,20,9,13,2.11,10,3,0,0,0,0,0,0,0,0,0,0,0,0,13,8,5,6,2,10,14,71.4,4,9,1,5,18,15,0,409,17,88,190,132,15,409,5,2,40.0,3,60.0,194,921.0,573.0,4,4,10,4,259,0,9,1,0,0,0,0,24,3,4,42.9
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,24,2000,11,10,827,9.2,4,2,6,4,0,1,1,0,5.7,4.9,1.0,5.9,13,12,71,0.44,0.22,0.65,0.44,0.65,0.62,0.11,0.73,0.54,0.64,31,14,45.2,3.37,1.52,0.13,0.29,13,0,0.16,-1.7,-0.9,99,164,60.4,1254,350,66,89,74.2,27,52,51.9,2,5,40.0,1.0,1.0,3,7,4,1,0,0,17,6,15,1.63,8,0,3,3,1,0,4,0,3,0,1,0,0,0,10,5,4,3,3,4,11,36.4,7,5,0,3,13,2,0,283,2,18,101,168,51,282,16,6,37.5,10,62.5,164,781.0,395.0,10,8,29,11,209,0,19,9,2,0,0,0,20,14,14,50.0
Abdel Abqar,MAR,DF,Alavés,La Liga,25,1999,12,12,948,10.5,0,1,1,0,0,0,6,0,0.4,0.4,0.1,0.5,10,35,3,0.0,0.09,0.09,0.0,0.09,0.04,0.01,0.05,0.04,0.05,5,1,20.0,0.47,0.09,0.0,0.0,7,0,0.08,-0.4,-0.4,240,331,72.5,5463,2203,72,82,87.8,122,139,87.8,45,97,46.4,0.2,0.9,4,26,3,0,0,7,2,2,12,1.14,8,0,0,2,1,1,2,0,1,0,0,0,1,0,13,9,7,6,0,4,10,40.0,6,10,6,21,34,45,0,437,53,202,214,24,8,437,1,0,0.0,1,100.0,199,1435.0,862.0,6,0,7,1,203,0,26,8,1,1,0,0,28,12,13,48.0
Tammy Abraham,ENG,FW,Roma,Serie A,27,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,4,0,0,2,2,1,4,0,0,0.0,0,0.0,3,2.0,1.0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,100.0
Tammy Abraham,ENG,FW,Milan,Serie A,27,1997,7,4,377,4.2,2,1,3,1,1,2,0,0,4.3,2.6,0.8,3.4,1,4,24,0.48,0.24,0.72,0.24,0.48,1.03,0.19,1.23,0.63,0.82,13,7,53.8,3.1,1.67,0.08,0.14,14,0,0.2,-2.3,-1.6,42,60,70.0,567,95,26,35,74.3,14,18,77.8,1,2,50.0,0.6,0.2,5,2,3,0,1,0,1,2,13,3.1,8,0,0,4,1,0,3,0,1,0,0,1,1,0,4,1,0,4,0,0,0,0.0,0,3,0,2,6,3,0,104,6,8,46,50,29,102,6,1,16.7,5,83.3,43,147.0,39.0,1,1,6,2,64,0,9,3,1,1,0,0,4,7,7,50.0
Federico Accornero,ITA,MF,Genoa,Serie A,20,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4,6,66.7,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,8,1,2,3,3,0,8,0,0,0.0,0,0.0,5,25.0,18.0,1,0,2,0,5,0,0,0,0,0,0,0,1,0,1,0.0
Francesco Acerbi,ITA,DF,Inter,Serie A,36,1988,8,8,656,7.3,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,5,28,5,0.0,0.14,0.14,0.0,0.14,0.03,0.03,0.06,0.03,0.06,2,1,50.0,0.27,0.14,0.0,0.0,12,0,0.11,-0.2,-0.2,534,564,94.7,9922,2794,177,188,94.1,317,326,97.2,33,38,86.8,0.4,0.8,3,28,3,2,0,0,3,0,6,0.82,6,0,0,0,0,0,1,0,1,0,0,0,0,0,6,4,5,1,0,2,3,66.7,1,6,6,15,21,28,0,630,50,241,354,36,7,630,1,1,100.0,0,0.0,415,1863.0,921.0,8,0,1,1,494,0,4,8,0,0,0,0,18,23,10,69.7
Akor Adams,NGA,FW,Montpellier,Ligue 1,24,2000,11,10,828,9.2,3,1,4,3,0,0,2,0,4.0,4.0,0.7,4.7,6,5,29,0.33,0.11,0.43,0.33,0.43,0.44,0.08,0.52,0.44,0.52,21,10,47.6,2.28,1.09,0.14,0.3,13,0,0.19,-1.0,-1.0,79,130,60.8,1078,134,46,66,69.7,26,41,63.4,2,8,25.0,0.1,0.3,10,6,0,0,0,2,4,5,18,1.95,14,0,3,0,1,0,3,0,1,0,1,0,1,0,3,2,1,1,1,2,3,66.7,1,2,1,1,4,3,1,185,3,14,88,85,37,185,10,4,40.0,5,50.0,93,455.0,196.0,3,5,11,11,128,0,16,7,15,1,0,0,19,22,19,53.7
Che Adams,SCO,FW,Torino,Serie A,28,1996,11,8,672,7.5,3,1,4,3,0,0,0,0,2.3,2.3,1.0,3.2,7,6,35,0.4,0.13,0.54,0.4,0.54,0.31,0.13,0.43,0.31,0.43,15,8,53.3,2.01,1.07,0.2,0.38,18,0,0.15,0.7,0.7,113,161,70.2,1645,253,62,79,78.5,39,52,75.0,5,11,45.5,0.8,0.0,10,7,1,0,1,1,2,5,22,2.95,17,0,0,3,2,0,1,0,1,0,0,0,0,0,5,3,1,2,2,0,1,0.0,1,5,3,0,5,2,0,224,2,18,118,91,22,224,11,4,36.4,5,45.5,130,591.0,204.0,6,2,15,8,163,0,6,11,7,0,0,0,11,12,18,40.0
Tyler Adams,USA,MF,Bournemouth,Premier League,25,1999,3,1,101,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,0,3,0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.14,0.02,0.14,1,0,0.0,0.89,0.0,0.0,0.0,29,0,0.03,0.0,0.0,38,48,79.2,623,119,17,17,100.0,20,25,80.0,1,3,33.3,0.0,-0.1,2,5,0,0,0,0,0,2,3,2.67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,4,0,1,1,100.0,0,4,2,4,9,1,0,68,4,13,35,20,1,68,0,0,0.0,0,0.0,27,131.0,47.0,2,0,0,1,28,0,1,0,0,0,0,0,6,1,0,100.0
Junior Adamu,AUT,FW,Freiburg,Bundesliga,23,2001,10,10,776,8.6,2,1,3,2,0,0,3,0,3.6,3.6,1.4,5.0,5,5,42,0.23,0.12,0.35,0.23,0.35,0.42,0.17,0.58,0.42,0.58,19,7,36.8,2.2,0.81,0.11,0.29,13,0,0.19,-1.6,-1.6,107,169,63.3,1286,110,64,92,69.6,28,43,65.1,1,2,50.0,1.5,-0.4,13,3,2,0,1,0,2,6,21,2.43,16,0,1,2,2,0,3,0,2,0,0,1,0,0,2,0,1,0,1,0,4,0.0,4,6,0,5,7,9,0,264,9,27,122,119,37,264,11,6,54.5,5,45.5,135,565.0,207.0,3,3,25,10,174,0,18,15,8,0,0,0,26,23,59,28.0
Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,27,1997,4,2,173,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,138,151,91.4,2275,809,61,63,96.8,73,75,97.3,3,10,30.0,0.0,0.0,1,1,0,0,0,0,0,1,2,1.05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,1,100.0,0,2,2,1,3,8,0,163,29,104,59,1,0,163,1,1,100.0,0,0.0,98,350.0,191.0,0,0,0,0,127,0,2,0,0,0,0,0,7,0,0,0.0
Martin Adeline,FRA,MF,Reims,Ligue 1,21,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,0,14,2,8,4,2,1,14,0,0,0.0,0,0.0,6,35.0,9.0,0,1,0,0,9,0,0,1,0,0,0,0,0,0,1,0.0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22,2002,5,4,305,3.4,2,3,5,2,0,0,0,0,0.7,0.7,1.7,2.4,12,3,29,0.59,0.89,1.48,0.59,1.48,0.22,0.49,0.71,0.22,0.71,8,4,50.0,2.36,1.18,0.25,0.5,16,0,0.09,1.3,1.3,60,82,73.2,816,94,32,42,76.2,22,26,84.6,0,0,0.0,0.6,1.3,9,0,3,0,1,0,1,7,13,3.84,8,0,2,2,1,0,3,0,3,0,0,0,0,0,7,5,3,1,3,2,2,100.0,0,6,0,1,8,0,0,135,2,12,60,68,17,135,22,12,54.5,9,40.9,81,689.0,351.0,10,8,10,5,101,0,5,3,0,0,0,0,12,1,3,25.0
Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22,2002,7,2,205,2.3,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.8,7,4,44,0.44,0.44,0.88,0.44,0.88,0.14,0.21,0.35,0.14,0.35,5,1,20.0,2.2,0.44,0.2,1.0,14,0,0.07,0.7,0.7,57,83,68.7,789,163,39,47,83.0,15,23,65.2,3,6,50.0,0.7,0.5,2,1,2,0,0,0,10,3,8,3.51,6,0,1,1,0,0,2,0,2,0,0,0,0,0,6,2,3,2,1,3,5,60.0,2,3,0,3,9,1,0,129,2,14,41,76,12,129,8,1,12.5,7,87.5,80,532.0,250.0,5,4,13,3,89,0,3,0,0,0,0,0,12,1,1,50.0
Amine Adli,MAR,MF,Leverkusen,Bundesliga,24,2000,7,2,205,2.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12,9,37,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.21,0.18,0.21,5,0,0.0,2.2,0.0,0.0,0.0,13,0,0.08,-0.4,-0.4,92,120,76.7,1182,259,61,72,84.7,24,32,75.0,3,9,33.3,0.8,-0.1,2,2,7,2,0,1,11,3,11,4.83,5,0,2,1,3,0,0,0,0,0,0,0,0,0,7,4,1,1,5,3,5,60.0,2,3,0,0,7,3,0,157,3,21,43,95,15,157,14,7,50.0,6,42.9,82,579.0,351.0,10,2,5,2,121,0,2,7,0,2,0,0,12,6,4,60.0
Yacine Adli,FRA,MF,Fiorentina,Serie A,24,2000,10,4,404,4.5,1,3,4,1,0,0,1,0,0.0,0.0,1.1,1.2,9,33,10,0.22,0.67,0.89,0.22,0.89,0.01,0.26,0.26,0.01,0.26,1,1,100.0,0.22,0.22,1.0,1.0,20,0,0.02,1.0,1.0,254,314,80.9,5043,1677,112,121,92.6,96,113,85.0,44,70,62.9,0.8,1.9,12,35,3,0,2,5,21,3,23,5.12,15,7,1,0,0,0,4,0,1,2,1,0,0,0,12,6,4,5,3,5,11,45.5,6,5,0,2,14,9,0,355,10,60,215,84,2,355,8,2,25.0,5,62.5,205,1228.0,600.0,11,1,5,1,235,0,1,10,0,0,0,0,27,3,4,42.9
Adryelson,BRA,DF,Lyon,Ligue 1,26,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,3,33.3,21,19,0,1,0.0,1,2,50.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,1,0,5,1,2,3,0,0,5,0,0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0
Vasilije Adžić,MNE,MF,Juventus,Serie A,18,2006,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,1,1,100.0,4.74,4.74,0.0,0.0,29,0,0.03,0.0,0.0,9,10,90.0,167,18,4,4,100.0,4,4,100.0,1,1,100.0,0.0,0.0,0,1,1,0,0,0,0,1,2,9.47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0.0,1,0,0,0,2,0,0,12,0,1,2,9,1,12,0,0,0.0,0,0.0,6,21.0,5.0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0.0
Michel Aebischer,SUI,MF,Bologna,Serie A,27,1997,7,5,378,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,4,19,9,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,5,2,40.0,1.19,0.48,0.0,0.0,21,1,0.03,-0.2,-0.2,170,196,86.7,3073,764,76,83,91.6,74,82,90.2,19,22,86.4,0.5,-0.3,6,17,3,1,1,1,6,2,9,2.14,6,2,0,0,0,1,0,0,0,0,0,0,0,0,7,4,1,4,2,4,8,50.0,4,3,1,5,12,2,0,234,6,33,138,64,7,234,3,1,33.3,1,33.3,127,500.0,180.0,6,2,4,3,165,0,8,8,0,0,0,0,18,3,6,33.3
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,10,6,604,6.7,2,0,2,2,0,0,0,0,1.4,1.4,0.7,2.1,14,14,33,0.3,0.0,0.3,0.3,0.3,0.21,0.1,0.31,0.21,0.31,18,7,38.9,2.68,1.04,0.11,0.29,17,0,0.08,0.6,0.6,95,136,69.9,1709,441,44,54,81.5,32,44,72.7,16,22,72.7,0.2,-0.7,8,11,5,4,0,4,19,9,19,2.83,8,0,5,4,2,0,0,0,0,0,0,0,0,0,9,5,2,3,4,4,8,50.0,4,5,0,5,14,6,0,243,4,34,101,112,23,243,35,17,48.6,16,45.7,157,988.0,373.0,7,6,20,19,171,0,10,13,1,0,0,0,29,6,20,23.1
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27,1997,11,11,990,11.0,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,9,65,0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.07,0.05,0.07,13,3,23.1,1.18,0.27,0.0,0.0,28,1,0.04,-0.5,-0.5,630,711,88.6,12698,5283,235,250,94.0,309,322,96.0,79,128,61.7,0.3,-0.3,7,55,3,0,2,18,0,1,17,1.55,15,0,1,1,0,0,1,0,1,0,0,0,0,0,22,15,17,3,2,16,20,80.0,4,19,12,9,31,51,1,833,149,445,356,35,4,833,10,7,70.0,3,30.0,490,2691.0,1599.0,8,0,5,5,561,0,10,3,0,0,0,0,62,13,10,56.5
Asher Agbinone,ENG,MF,Crystal Palace,Premier League,19,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79,1,0,0.0,15.0,0.0,0.0,0.0,26,0,0.02,0.0,0.0,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,1,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0.0,0,0,0,0,2,0,0,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53.0,23.0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0.0
Lucien Agoume,FRA,MF,Sevilla,La Liga,22,2002,12,8,685,7.6,0,0,0,0,0,0,1,1,0.1,0.1,0.2,0.3,11,31,11,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,3,0,0.0,0.39,0.0,0.0,0.0,16,0,0.04,-0.1,-0.1,327,411,79.6,5030,1384,178,201,88.6,111,137,81.0,26,42,61.9,0.2,-0.2,6,28,2,0,1,2,3,8,18,2.36,16,0,1,1,0,0,1,0,0,0,0,1,0,0,21,6,9,10,2,10,15,66.7,5,14,6,11,32,9,0,495,20,118,302,82,6,495,12,10,83.3,2,16.7,244,1182.0,542.0,10,1,13,5,332,0,17,2,2,0,1,0,38,14,16,46.7
