Player,Nationality,Position,Team,Competition,Age,Born,Matches,Starts,Minutes,90s,Goals,Assists,G+A,G-PK,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,xG,npxG,xAG,npxG+xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Received,Goals_per_90,Assists_Per_90,G+A_per_90,G-PK_per_90,G+A-PK_per_90,xG_per_90,xAG_per_90,xG+xAG_per_90,npxG_per_90,npxG+xAG_per_90,Shots,Shots_on_Target,Shots_on_Target_%,Shots_per_90,Shots_on_Target_per_90,Goals_per_Shot,Goals_per_Shot_on_Target,Distance,Free_Kicks,npxG_per_Shot,G-xG,npxG-xG,Passes_Completed,Passes_Attempted,Pass_Completion_%,Total_Pass_Distance,Total_Progressive_Distance,Short_Passes_Completed,Short_Passes_Attempted,Short_Pass_Completion_%,Medium_Passes_Completed,Medium_Passes_Attempted,Medium_Pass_Completion_%,Long_Passes_Completed,Long_Passes_Attempted,Long_Pass_Completion_%,xA,xA-xAG,Key_Passes,Final_Third_Passes,Passes_into_Penalty_Area,Crosses_into_Penalty_Area,Through_Balls,Switches,Crosses,Passes_Blocked,SCA,SCA_per_90,SCA_Pass_Live,SCA_Pass_Dead,SCA_Take_Ons,SCA_Shots,SCA_Fouled,SCA_Defense,GCA,GCA_per_90,GCA_Pass_Live,GCA_Pass_Dead,GCA_Take_Ons,GCA_Shots,GCA_Fouled,GCA_Defense,Tackles,Tackles_Won,Tackles_Defensive_3rd,Tackles_Middle_3rd,Tackles_Attacking_3rd,Dribblers_Tackled,Dribbles_Challenged,Dribblers_Tackled_%,Challenges_Lost,Blocks,Shots_Blocked,Interceptions,Tackles + Interceptions,Clearances,Errors,Touches,Touches_Defensive_Penalty_Area,Touches_Defensive_Third,Touches_Middle_Third,Touches_Attacking_Third,Touches_Attacking_Penalty_Area,Touches_Live_Ball,Take_Ons_Attempted,Take_Ons_Successful,Take_Ons_Success_%,Tackled_During_Take_On,Tackled_During_Take_On_%,Carries,Carries_Total_Distance,Carries_Progressive_Distance,Carries_Into_Final_3rd,Carries_Into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Second_Yellow_Cards,Fouls_Committed,Fouls_Drawn,Offsides,Penalty_Kicks_Won,Penalty_Kicks_Conceded,Own_Goals,Ball_Recoveries,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won_%
Rodrigo Riquelme,ESP,"DF,MF",Atlético Madrid,La Liga,24,2000,9,4,383,4.3,0,0,0,0,0,0,0,0,0.7,0.7,0.5,1.2,34,19,47,0.0,0.0,0.0,0.0,0.0,0.16,0.12,0.28,0.16,0.28,11,4,36.4,2.58,0.94,0.0,0.0,17,0,0.06,-0.7,-0.7,155,194,79.9,2092,588,93,107,86.9,47,54,87.0,5,18,27.8,0.6,-0.5,9,12,7,1,0,0,20,3,19,4.45,18,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,5,0,4,9,44.4,5,1,0,1,9,3,0,253,6,33,93,134,18,253,18,4,22.2,12,66.7,179,1325.0,762.0,17,8,5,5,188,0,4,6,4,0,0,0,14,3,3,50.0
Alberto Risco,ESP,"MF,FW",Getafe,La Liga,19,2005,5,0,69,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,3,6,0.0,0.0,0.0,0.0,0.0,0.22,0.19,0.41,0.22,0.41,4,1,25.0,5.22,1.3,0.0,0.0,21,0,0.04,-0.2,-0.2,25,34,73.5,340,98,15,18,83.3,6,8,75.0,2,4,50.0,0.2,-0.1,4,1,4,3,0,0,4,1,6,7.71,5,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,2,0,2,1,6,16.7,5,2,0,0,4,0,0,57,0,7,17,34,5,57,6,1,16.7,5,83.3,32,153.0,79.0,3,2,5,4,33,0,1,2,0,0,0,0,5,1,3,25.0
Mihailo Ristić,SRB,"MF,DF",Celta Vigo,La Liga,29,1995,2,2,111,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,39,52,75.0,612,195,24,27,88.9,13,17,76.5,2,6,33.3,0.0,0.0,0,2,0,0,0,0,3,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,0.0,1,0,0,0,2,4,0,66,6,22,31,14,0,66,5,1,20.0,4,80.0,37,189.0,86.0,0,0,2,0,42,0,2,1,0,0,0,0,4,0,2,0.0
Lars Ritzka,GER,"DF,FW",St. Pauli,Bundesliga,26,1998,6,4,341,3.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,3,7,16,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.11,0.08,0.11,3,0,0.0,0.79,0.0,0.0,0.0,21,0,0.1,-0.3,-0.3,112,153,73.2,1843,608,55,64,85.9,54,67,80.6,3,16,18.8,0.2,-0.1,3,8,3,1,0,0,8,6,6,1.58,5,0,0,0,1,0,0,0,0,0,0,0,0,0,25,15,14,8,3,14,23,60.9,9,8,0,2,27,13,0,207,3,65,92,50,3,207,1,0,0.0,1,100.0,45,167.0,107.0,2,0,1,3,96,0,3,2,0,0,0,0,12,0,9,0.0
Gorka Rivera Alonso,ESP,"DF,MF",Getafe,La Liga,20,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,5,11,45.5,94,27,1,2,50.0,4,7,57.1,0,2,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,100.0,0,0,0,0,2,0,0,17,0,7,8,2,0,17,2,0,0.0,1,50.0,5,23.0,5.0,0,0,2,0,5,0,1,1,0,0,0,0,1,0,1,0.0
Sergi Roberto,ESP,MF,Como,Serie A,32,1992,8,6,527,5.9,0,1,1,0,0,0,3,0,0.7,0.7,0.7,1.4,8,31,13,0.0,0.17,0.17,0.0,0.17,0.11,0.12,0.23,0.11,0.23,6,1,16.7,1.02,0.17,0.0,0.0,23,0,0.11,-0.7,-0.7,363,397,91.4,4802,1111,237,251,94.4,100,102,98.0,11,16,68.8,0.5,0.3,14,22,5,0,1,0,5,8,20,3.42,16,3,0,1,0,0,1,0,1,0,0,0,0,0,10,6,3,3,4,4,5,80.0,1,4,1,9,19,8,0,455,10,74,279,105,6,455,9,3,33.3,5,55.6,263,1247.0,628.0,13,1,9,4,333,0,7,10,0,0,2,0,43,4,8,33.3
Andrew Robertson,SCO,DF,Liverpool,Premier League,30,1994,10,9,756,8.4,0,0,0,0,0,0,1,0,0.4,0.4,1.8,2.2,15,42,18,0.0,0.0,0.0,0.0,0.0,0.05,0.22,0.27,0.05,0.27,3,2,66.7,0.36,0.24,0.0,0.0,8,0,0.14,-0.4,-0.4,494,595,83.0,8394,2533,232,245,94.7,221,251,88.0,33,78,42.3,1.3,-1.8,12,33,8,4,2,2,42,11,18,2.14,14,3,0,0,0,1,0,0,0,0,0,0,0,0,10,7,7,2,1,8,14,57.1,6,2,1,5,15,11,0,646,27,190,298,163,15,646,5,2,40.0,2,40.0,330,1414.0,763.0,11,1,6,3,417,0,2,3,0,0,0,0,41,1,3,25.0
Antonee Robinson,USA,DF,Fulham,Premier League,27,1997,11,11,990,11.0,0,3,3,0,0,0,1,0,0.2,0.2,0.9,1.1,28,36,77,0.0,0.27,0.27,0.0,0.27,0.02,0.08,0.1,0.02,0.1,7,0,0.0,0.64,0.0,0.0,0.0,23,0,0.03,-0.2,-0.2,477,608,78.5,8635,3186,204,235,86.8,223,267,83.5,46,75,61.3,1.1,2.1,10,41,18,10,0,0,43,16,23,2.09,22,0,1,0,0,0,3,0,3,0,0,0,0,0,33,22,18,14,1,17,30,56.7,13,9,1,20,53,39,0,738,46,235,285,227,25,738,23,12,52.2,10,43.5,392,1737.0,913.0,17,10,15,7,423,0,9,2,3,0,0,0,42,12,7,63.2
Marc Roca,ESP,MF,Betis,La Liga,28,1996,9,9,729,8.1,0,1,1,0,0,0,3,0,0.5,0.5,0.4,0.9,10,49,10,0.0,0.12,0.12,0.0,0.12,0.06,0.05,0.11,0.06,0.11,8,0,0.0,0.99,0.0,0.0,0.0,16,1,0.06,-0.5,-0.5,382,434,88.0,6538,1872,176,188,93.6,174,187,93.0,24,41,58.5,0.5,0.6,11,41,5,2,0,3,7,6,21,2.59,17,1,2,1,0,0,1,0,1,0,0,0,0,0,14,8,8,6,0,8,15,53.3,7,16,5,8,22,9,1,504,22,120,312,76,12,504,5,4,80.0,1,20.0,310,1710.0,880.0,12,0,7,6,342,0,15,4,0,0,0,0,42,3,9,25.0
Rodri,ESP,MF,Manchester City,Premier League,18,2006,2,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57,61,93.4,1056,250,25,26,96.2,24,27,88.9,7,7,100.0,0.1,0.0,1,3,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
