Player Name,Team,Age,Nationality,Position,Competition,Year Born,0,1,2,3,4,5,6,7,8
Adrián,Betis,38,ESP,GK,La Liga,1987,-2.9495522789684716,-0.87456432556141,-0.6254306210046542,0.189672192667278,-0.3318374025956399,-0.3030460403051446,-0.5754262792893352,-0.3149275738984927,0.08065412114954087
Julen Agirrezabala,Athletic Club,25,ESP,GK,La Liga,2000,-1.1876618020220417,0.42879935000922653,1.9466052775073448,-0.34714194260294096,0.648758696244148,2.5099469975095103,-0.49014734924027126,0.534909568246889,1.4942004975081713
Alisson,Liverpool,33,BRA,GK,Premier League,1992,-0.2893174727824413,-2.6025133541794503,0.09591467152949763,0.5463464744538666,-1.1383517411569903,-0.17629306983753062,-0.2722721898961645,-0.15947616256368208,-1.029892248683299
Alphonse Areola,West Ham,32,FRA,GK,Premier League,1993,0.03025792658048307,0.433193953886746,-0.9725744310313693,0.5418202662627737,-0.2402688155910274,-0.07652759231054727,-1.0992170168762663,0.012477119438097891,-0.956389761859776
Kepa Arrizabalaga,Bournemouth,31,ESP,GK,Premier League,1994,1.497993412078484,-0.18755418500199908,0.16109060346441578,-0.3042989457059869,-1.2431820178527586,-0.47388869746019796,1.0684880599960125,0.20909106470375488,-0.2931970911939097
Noah Atubolu,Freiburg,23,GER,GK,Bundesliga,2002,3.5838228116039166,-0.7557133131174719,1.6182533428992267,1.6384928425484178,1.8979663911852849,1.2776149298090413,-1.7667680293929577,0.45552214383126394,0.5738016713859625
Emil Audero,Como,28,IDN,GK,Serie A,1997,-3.0252087158907894,-1.0786474197311386,-3.2703387037405847,-0.5475382365452846,0.5301832389381412,-0.4257585819520978,0.4351266507647834,-0.6632019765636923,0.9302224833749093
Augusto Batalla,Rayo Vallecano,29,ARG,GK,La Liga,1996,1.9114418502695374,0.9367027630027054,0.5490429830482522,0.2140858043253613,0.47430905086314834,0.35466292802042537,-0.2797482698875959,-0.08993731541972755,-0.1982018344675734
Oliver Baumann,Hoffenheim,35,GER,GK,Bundesliga,1990,1.591584993767509,0.2482533495649518,0.7463683878671113,1.5231933192860614,0.6213789796648297,-0.8651809494204656,0.8902474482546211,0.7079845070616834,-0.0029721930913771486
Marco Bizot,Brest,34,NED,GK,Ligue 1,1991,2.8904873167724783,1.026880221472554,-0.8610261083288765,0.1693740227937349,-1.605439287506673,0.38604142512003464,-0.5503848115766564,0.20209601988403836,1.34992556653736
Jean Butez,Como,30,FRA,GK,Serie A,1995,-1.380625932612468,-0.7366617913336917,-1.4281663412544663,-0.6782248721041468,-0.49708241087928584,1.6282875292041814,0.24381242294359978,1.3078275543091291,0.5292094637147567
Marcin Bułka,Nice,26,POL,GK,Ligue 1,1999,2.486913705727728,-1.6106188921242333,0.4250884592573814,-1.7935080928416134,0.9405552010973653,-0.6579974185201807,-0.2844274062083185,0.5355289643751385,-1.3359805089601786
Elia Caprile,Cagliari,24,ITA,GK,Serie A,2001,-1.9012530658975728,1.4039567592508087,0.9982726097764197,0.08148390407568365,-0.08381086009047603,-0.797560965033566,0.5871460762379026,0.6295704534806433,-0.7877774657017875
Elia Caprile,Napoli,24,ITA,GK,Serie A,2001,-4.223817076038349,-2.0397042227531426,2.984981095850614,-1.26615971682236,-1.4431986874164497,0.38413858066633094,-2.350429981693747,-0.4251116224221102,1.0313238918285323
Cárdenas,Rayo Vallecano,28,ESP,GK,La Liga,1997,-3.925968820458868,3.1112870831153763,0.4023795332683919,0.9454489672977232,-0.07678934211556589,-0.3482080386741405,-0.020869108639489806,-0.998884497211613,-0.9928341064000232
Marco Carnesecchi,Atalanta,25,ITA,GK,Serie A,2000,1.8432477838607637,-0.5709661983733592,0.9691756732690247,-0.1767220502280404,-0.9032121433594524,0.6039657936208109,-0.23089395211522382,-0.37264253800171676,-0.8989864078468492
Lucas Chevalier,Lille,24,FRA,GK,Ligue 1,2001,1.591855201440352,-1.7254601406212802,1.0348715067414722,-0.7573675675659003,-0.5001561647135613,-1.5006908302140074,-0.07464868166319903,0.21244383600479877,-0.43858454202586
Jasper Cillessen,Las Palmas,36,NED,GK,La Liga,1989,2.958275773009273,0.4796852076166406,0.2600579584994046,0.9664556870273184,0.653851628206472,-1.4288496943624036,1.3510923670471422,-0.2787817432563446,0.0862390992505377
Diego Conde,Villarreal,27,ESP,GK,La Liga,1998,0.12043409709732246,-0.7682067763022261,-2.0287393571314047,-0.8443290195392901,0.4288371377209209,-0.5673203895203284,-0.40266710549004936,-0.1652140131552434,-0.07723315241987663
Thibaut Courtois,Real Madrid,33,BEL,GK,La Liga,1992,0.9653202501165818,-1.9841994082722763,-0.04588409319442006,-0.5043102322560621,-0.14874263757448108,-1.2467187243619458,-0.206469569611223,-1.5958241843438514,-0.5144350088856706
Finn Dahmen,Augsburg,27,GER,GK,Bundesliga,1998,-1.5851827827834115,0.32506157535934416,4.361038406903226,0.2873242791879905,-1.9557787171409142,-0.7976269012149748,-0.9509916541608864,-0.2539105867387287,-0.8097285193231921
