Player Name,Team,Age,Nationality,Position,Competition,Year Born,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Yunis Abdelhamid,Saint-Étienne,38,MAR,DF,Ligue 1,1987,-4.965288178053232,1.1929510734809714,1.4268074880287158,0.2659180067081331,-0.30389521187455243,1.150356181272779,1.1900185254352098,-0.04437591119356531,0.05428813219708682,0.9486561835463475,0.5532348686055079,0.3357512746039967,0.3102481270257955,1.37877269292543,-0.36828518448576264,-0.6490772524186473
Himad Abdelli,Angers,26,ALG,"MF,FW",Ligue 1,1999,9.876203500094947,3.232693932578168,-2.2932035031142908,-0.8969302769307194,0.14231886657934487,1.735638350498566,-4.91879089931617,-1.7920955311640956,2.4554315964424434,-0.48952504042067263,-0.9476679847836408,0.31016088051094787,-1.5525190229038888,1.340412571442215,0.39971946967298055,1.4395487932001556
Mohamed Abdelmoneim,Nice,26,EGY,DF,Ligue 1,1999,-5.468698361408499,-0.4436519883573065,-0.11808533475628921,-0.16239484360996584,0.16868567322199088,-0.10598847065098849,0.2093924606979538,0.16340874436514155,0.6039092914640128,-1.7755430855114733,1.5003596768688794,0.29931256515568183,0.6686609371857946,0.09409624373166449,0.4216102814882996,0.126153893873417
Ali Abdi,Nice,32,TUN,"DF,MF",Ligue 1,1993,-0.4251690507584546,-1.0024913434068234,-0.32966506453071304,-0.8357851287591607,1.4830608447243103,-0.09903187826231177,1.0361708118698538,0.9365324242970197,-0.3541067157405168,0.1427071592346876,0.4774490008294261,-0.603955314330254,0.4100909840554756,0.24153353842638814,0.018459050925334636,0.05484253094808684
Abel,Osasuna,25,ESP,DF,La Liga,2000,0.3320633072976081,2.0530581943398394,-1.0760531148070622,-2.302127772606891,2.8282793909493655,0.9849751955469017,0.36757105327936557,-0.8109682134450721,-0.9158408754121016,0.5571386866807834,0.10286159727139178,0.4374853749601135,-0.3826950891343791,-1.3404808973843547,0.4058662133451572,-0.03966570845080748
Matthis Abline,Nantes,22,FRA,FW,Ligue 1,2003,8.757720188231307,-4.469803248195297,1.822584032989384,2.9316618965266574,-0.45642939613993444,3.1964623232568767,-0.4797032812351456,-2.4563752755594543,-0.03486488043724633,-1.3612371724581378,-0.6941491532612155,0.481558214283733,-0.020535304038629625,-0.5301994190807375,0.9848873033541511,-0.2815355400674369
Abner,Lyon,25,BRA,DF,Ligue 1,2000,-2.048409365104973,-0.6947058257040023,-1.0236519983854961,-1.8914655530928266,0.7841292287015194,-0.2372919996554937,0.4689151078622365,0.20974180346653906,0.25123323485780463,0.5351798669477841,-0.01360703744594548,-0.8636430293076395,0.0014625431594542477,0.2802153599343657,0.12037675612369912,-0.8604595030216211
Zakaria Aboukhlal,Toulouse,25,MAR,"MF,FW",Ligue 1,2000,6.584484733771312,-5.2027345191145,2.615358814733117,5.73839199688453,0.20506447808158101,-0.7113132532171309,0.031708498504013256,-0.2887962509397226,0.4777218933623314,0.7116915724922414,0.41198200868625673,-0.6061854856382036,0.5920947068077291,-1.6671720239471033,-1.0990948033945038,-0.3481518484148154
Abdel Abqar,Alavés,26,MAR,DF,La Liga,1999,-2.3448610080703607,5.923173546927143,2.2205699215863874,1.640396609905951,-0.7003809340087751,0.3905799028643808,0.36137997201009286,1.0120423939596075,-1.2720738818463702,-1.466631221122591,-0.4487223318461169,0.1755073232613843,2.575939513002586,0.15470883247204353,0.17322903019052852,1.2591170595387497
Tammy Abraham,Milan,28,ENG,FW,Serie A,1997,-0.4267944934245588,-4.085914737417483,0.6771216007759056,5.042857526213941,-1.2539603141716122,-2.9570389335609137,0.4859136019562048,0.8268858646700292,0.7577010302098527,1.9155712485066219,0.17468899949457542,-0.27708127404014077,0.033392621631924344,0.7725142088066642,1.5272060707210307,0.06383978514883616
Francesco Acerbi,Inter,37,ITA,DF,Serie A,1988,-3.7983779034807488,3.041995077113273,1.742747486159184,-0.1904635798541494,-2.4711461032470585,1.1072499616017262,0.174774805211619,1.2332308161660877,-1.9637217031597196,0.16374493553387973,-0.480786691009451,-1.1956600022939783,-1.0942202227058493,0.13921173547232912,0.15250538649124634,-0.35320128865272055
Akor Adams,Montpellier,25,NGA,FW,Ligue 1,2000,-0.8270705572901179,-4.617887282372899,2.0359900130252955,1.9687154509044105,-1.1045846663460999,-0.47563278128039693,-0.15815241663389482,-0.16518153396582333,-0.5123655521499831,0.7602421408219712,-0.023549667490120163,0.338354135393137,0.4778501806200775,-0.46822039209230304,1.734053886817194,-0.39619929364956485
Che Adams,Torino,29,SCO,FW,Serie A,1996,5.100777937989028,-4.85493738806146,4.529355161834383,-1.7385443565919676,0.9467838216388337,-1.1832277627660406,0.062177690755274566,0.6194528760897284,0.11947651394492267,-1.998380484504328,-1.4604263017699985,0.6682963365350038,-0.38194320842136065,0.13519885025887232,-0.9795832765515498,-0.7070321793707361
Tyler Adams,Bournemouth,26,USA,MF,Premier League,1999,-1.6457973203355323,2.2782157764122655,-0.7086941491552651,2.6988439025610025,3.314706439486833,-1.829211055742966,-0.16906396938179521,3.3985423076069594,1.3536358631278351,1.2855192347763515,1.01621828087751,-0.8890534916944903,-0.02043619432678028,0.28996080272852087,-0.26858545204305817,0.40846463946806616
Junior Adamu,Freiburg,24,AUT,FW,Bundesliga,2001,-0.3201895774923334,-4.127366049751285,1.7038257487989168,4.444812701083925,-0.2580472498906966,-0.9874206645002469,-0.10645816002783293,-1.2128018755045757,-0.8476914134811666,-0.49381166791631453,-2.7422801807876067,0.6417418719597668,-1.1286453214744203,-0.12427830012448496,-0.5524754330360258,0.16893130068257303
