Player,Nationality,Position,Team,Competition,Age,Born,Matches,Starts,Minutes,90s,Yellow_Cards,Red_Cards,Passes_Completed,Passes_Attempted,Pass_Completion_%,Total_Pass_Distance,Total_Progressive_Distance,Short_Passes_Completed,Short_Passes_Attempted,Short_Pass_Completion_%,Medium_Passes_Completed,Medium_Passes_Attempted,Medium_Pass_Completion_%,Long_Passes_Completed,Long_Passes_Attempted,Long_Pass_Completion_%,Clearances,Errors,Touches,Touches_Defensive_Penalty_Area,Touches_Defensive_Third,Carries,Carries_Total_Distance,Carries_Progressive_Distance,Ball_Recoveries,Goals_Against,Goals_Against_per_90,Shots_On_Target_Against,Saves,Save_%,Clean_Sheets,Clean_Sheet_%,Penalty_Kicks_Allowed,Penalty_Kicks_Saved,Penalty_Kicks_Missed,Penalty_Kicks_Save_%,Free_Kick_Goals_Against,Corner_Kick_Goals_Against,Own_Goals_Against,Post-Shot_xG,Post-Shot_xG_per_Shot_on_Target,Post-Shot_xG_+/-,Post-Shot_xG_per_90,Launches_Completed,Launches_Attempted,Launches_Completion_%,Passes_Attempted(GK),Throws_Attempted,Launch_%,Average_Pass_Length,Goal_Kicks,Goal_Kicks_Launch_%,Average_Length_Goal_Kicks,Crosses_Faced,Crosses_Stopped,Crosses_Stopped_%,Actions_Outside_Penalty_Area,Actions_Outside_Penalty_Area_per_90,Defensive_Actions_Average_Distance
Alex Meret,ITA,GK,Napoli,Serie A,27,1997,15,15,1295,14.4,0,0,384,459,83.7,9326,5792,64,64,100.0,239,246,97.2,81,149,54.4,6,0,488,383,485,262,1106,604,20,11.0,0.76,39.0,27.0,74.4,7.0,46.7,1.0,1.0,1.0,50.0,0.0,0.0,0.0,11.0,0.0,0.0,0.03,25.0,77.0,32.5,371.0,58.0,14.3,26.0,88.0,27.3,32.0,157.0,13.0,8.3,17.0,1.18,15.0
Alexander Meyer,GER,GK,Dortmund,Bundesliga,33,1991,2,2,180,2.0,0,0,54,83,65.1,1541,1064,7,7,100.0,28,29,96.6,19,47,40.4,0,0,87,64,86,51,295,130,5,4.0,2.0,11.0,7.0,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,33.0,24.2,76.0,3.0,35.5,34.0,7.0,85.7,63.0,24.0,1.0,4.2,2.0,1.0,14.0
Vanja Milinković-Savić,SRB,GK,Torino,Serie A,27,1997,17,17,1530,17.0,1,0,501,722,69.4,14718,10259,79,80,98.8,250,253,98.8,171,385,44.4,7,1,771,545,761,487,2471,1635,30,21.0,1.24,79.0,57.0,73.4,5.0,29.4,0.0,2.0,0.0,100.0,1.0,5.0,1.0,24.0,0.0,4.0,0.23,94.0,302.0,31.1,589.0,82.0,38.2,36.0,131.0,58.8,51.0,269.0,14.0,5.2,21.0,1.24,13.0
Lorenzo Montipò,ITA,GK,Hellas Verona,Serie A,28,1996,17,17,1530,17.0,0,0,234,493,47.5,8077,6642,28,28,100.0,98,100,98.0,108,360,30.0,9,2,542,428,536,214,1336,745,11,41.0,2.41,93.0,52.0,57.0,2.0,11.8,1.0,0.0,1.0,0.0,0.0,5.0,0.0,29.0,0.0,-11.0,-0.69,83.0,323.0,25.7,344.0,47.0,56.1,42.0,144.0,90.3,59.0,246.0,13.0,5.3,9.0,0.53,10.0
Florian Müller,GER,GK,Freiburg,Bundesliga,27,1997,2,2,180,2.0,0,0,41,74,55.4,1088,808,4,4,100.0,28,29,96.6,9,40,22.5,0,0,76,54,73,45,270,163,4,3.0,1.5,5.0,2.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,-0.27,7.0,38.0,18.4,60.0,3.0,46.7,37.0,13.0,76.9,57.0,26.0,0.0,0.0,1.0,0.5,13.0
Kevin Müller,GER,GK,Heidenheim,Bundesliga,33,1991,15,15,1350,15.0,0,0,412,551,74.8,11811,7818,46,46,100.0,230,233,98.7,135,269,50.2,6,2,595,498,585,330,1498,806,22,33.0,2.2,82.0,49.0,63.4,4.0,26.7,3.0,0.0,0.0,0.0,0.0,3.0,0.0,28.0,0.0,-5.0,-0.33,61.0,181.0,33.7,434.0,75.0,31.1,33.0,115.0,40.0,39.0,209.0,7.0,3.3,11.0,0.73,13.0
Arijanet Muric,KVX,GK,Ipswich Town,Premier League,26,1998,17,17,1530,17.0,1,0,425,595,71.4,11137,7902,114,114,100.0,197,203,97.0,113,272,41.5,10,5,649,526,632,381,1917,1076,22,31.0,1.82,96.0,65.0,70.8,1.0,5.9,3.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,0.0,0.0,0.0,75.0,220.0,34.1,496.0,93.0,30.0,30.0,94.0,75.5,54.0,239.0,37.0,15.5,19.0,1.12,12.0
Juan Musso,ARG,GK,Atalanta,Serie A,30,1994,1,1,90,1.0,0,0,17,33,51.5,486,331,2,2,100.0,9,9,100.0,6,22,27.3,0,0,35,30,35,12,91,48,1,0.0,0.0,4.0,4.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,4.0,20.0,20.0,19.0,4.0,36.8,33.0,14.0,92.9,56.0,15.0,0.0,0.0,1.0,1.0,17.0
Juan Musso,ARG,GK,Atlético Madrid,La Liga,30,1994,1,1,90,1.0,0,0,23,29,79.3,443,264,5,5,100.0,16,16,100.0,2,7,28.6,0,0,30,29,30,13,50,34,0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,5.0,0.0,17.0,5.0,17.6,26.0,11.0,18.2,24.0,10.0,1.0,10.0,0.0,0.0,13.0
Neto,BRA,GK,Bournemouth,Premier League,35,1989,2,2,180,2.0,0,0,40,62,64.5,1183,896,7,7,100.0,21,21,100.0,12,33,36.4,1,1,70,60,70,35,148,99,3,2.0,1.0,13.0,11.0,84.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.17,9.0,27.0,33.3,46.0,7.0,43.5,36.0,15.0,46.7,38.0,30.0,2.0,6.7,3.0,1.5,12.0
Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,38,1986,11,11,990,11.0,0,0,436,490,89.0,9770,6014,108,108,100.0,237,242,97.9,87,136,64.0,5,1,502,255,459,339,1740,1020,33,8.0,0.73,18.0,10.0,61.1,6.0,54.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,-2.0,-0.24,29.0,68.0,42.6,472.0,46.0,14.0,25.0,18.0,11.1,25.0,72.0,2.0,2.8,26.0,2.36,22.0
Moritz Nicolas,GER,GK,Gladbach,Bundesliga,27,1997,12,12,1080,12.0,0,0,430,510,84.3,10655,7106,96,96,100.0,225,229,98.3,109,184,59.2,7,1,542,445,541,361,1750,1034,15,14.0,1.17,57.0,44.0,78.9,3.0,25.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,0.0,3.0,0.31,57.0,121.0,47.1,466.0,60.0,21.9,27.0,44.0,43.2,38.0,218.0,11.0,5.0,12.0,1.0,13.0
Alexander Nübel,GER,GK,Stuttgart,Bundesliga,28,1996,15,15,1350,15.0,0,0,484,616,78.6,11945,8870,130,133,97.7,222,225,98.7,130,252,51.6,6,2,648,536,643,379,1673,1049,25,25.0,1.67,69.0,43.0,65.2,2.0,13.3,1.0,1.0,0.0,50.0,1.0,4.0,0.0,21.0,0.0,-3.0,-0.25,61.0,169.0,36.1,558.0,72.0,27.1,30.0,54.0,33.3,34.0,188.0,6.0,3.2,21.0,1.4,17.0
Ørjan Nyland,NOR,GK,Sevilla,La Liga,34,1990,11,11,963,10.7,1,0,238,388,61.3,5896,4394,79,79,100.0,100,106,94.3,58,201,28.9,6,1,414,354,407,239,1011,447,10,15.0,1.4,47.0,33.0,72.3,3.0,27.3,2.0,0.0,0.0,0.0,1.0,1.0,1.0,13.0,0.0,0.0,-0.07,41.0,166.0,24.7,327.0,33.0,41.9,36.0,60.0,48.3,41.0,161.0,9.0,5.6,10.0,0.93,13.0
Jan Oblak,SVN,GK,Atlético Madrid,La Liga,31,1993,17,17,1530,17.0,0,0,349,443,78.8,9177,6048,66,66,100.0,180,183,98.4,101,191,52.9,4,1,465,433,465,250,1179,669,19,12.0,0.71,52.0,42.0,78.8,8.0,47.1,1.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,0.0,0.01,47.0,131.0,35.9,322.0,82.0,24.5,30.0,120.0,43.3,38.0,214.0,7.0,3.3,16.0,0.94,14.0
Maduka Okoye,NGA,GK,Udinese,Serie A,25,1999,14,14,1260,14.0,1,0,390,504,77.4,10197,7285,94,95,98.9,187,188,99.5,107,215,49.8,4,1,537,440,531,335,1507,748,25,21.0,1.5,60.0,42.0,71.7,3.0,21.4,4.0,0.0,1.0,0.0,1.0,1.0,3.0,20.0,0.0,2.0,0.16,74.0,172.0,43.0,447.0,40.0,30.9,30.0,55.0,61.8,48.0,186.0,11.0,5.9,10.0,0.71,12.0
Robin Olsen,SWE,GK,Aston Villa,Premier League,34,1990,1,0,45,0.5,0,0,16,21,76.2,358,217,6,6,100.0,8,8,100.0,2,7,28.6,1,0,25,20,25,11,45,33,1,1.0,2.0,3.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13,1.0,6.0,16.7,19.0,0.0,21.1,26.0,2.0,100.0,70.0,2.0,0.0,0.0,0.0,0.0,8.0
Jonas Omlin,SUI,GK,Gladbach,Bundesliga,30,1994,3,3,270,3.0,0,0,119,147,81.0,3272,2027,13,13,100.0,61,61,100.0,44,71,62.0,0,0,154,134,154,113,375,159,8,6.0,2.0,21.0,14.0,71.4,1.0,33.3,0.0,1.0,0.0,100.0,0.0,1.0,0.0,6.0,0.0,0.0,-0.01,23.0,45.0,51.1,135.0,10.0,28.1,30.0,11.0,63.6,47.0,35.0,0.0,0.0,3.0,1.0,17.0
André Onana,CMR,GK,Manchester Utd,Premier League,28,1996,19,19,1710,19.0,0,0,605,779,77.7,14017,8632,167,169,98.8,319,321,99.4,117,285,41.1,9,3,816,584,798,611,3183,1751,20,26.0,1.37,73.0,46.0,67.1,6.0,31.6,2.0,1.0,0.0,33.3,0.0,9.0,0.0,28.0,0.0,2.0,0.13,66.0,220.0,30.0,717.0,89.0,26.2,28.0,60.0,53.3,42.0,206.0,12.0,5.8,15.0,0.79,12.0
Stefan Ortega,GER,GK,Manchester City,Premier League,32,1992,6,6,540,6.0,1,0,188,213,88.3,3722,2413,66,67,98.5,92,92,100.0,28,50,56.0,6,0,230,174,228,147,721,395,4,7.0,1.17,25.0,18.0,76.0,2.0,33.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.11,12.0,32.0,37.5,180.0,30.0,14.4,23.0,32.0,18.8,20.0,61.0,1.0,1.6,9.0,1.5,19.0
Jesús Owono,EQG,GK,Alavés,La Liga,23,2001,1,0,37,0.4,0,0,8,12,66.7,411,401,0,0,0.0,2,2,100.0,6,10,60.0,1,0,14,13,14,4,13,12,0,2.0,4.86,2.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.78,6.0,10.0,60.0,9.0,2.0,77.8,50.0,3.0,100.0,66.0,13.0,2.0,15.4,1.0,2.43,10.0
Alex Padilla,ESP,GK,Athletic Club,La Liga,21,2003,5,3,321,3.6,0,0,67,121,55.4,2317,1964,9,9,100.0,25,25,100.0,33,86,38.4,2,1,134,110,131,69,383,239,4,6.0,1.68,17.0,12.0,70.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,-0.06,27.0,78.0,34.6,98.0,15.0,58.2,41.0,22.0,95.5,64.0,57.0,2.0,3.5,3.0,0.84,13.0
Alberto Paleari,ITA,GK,Torino,Serie A,32,1992,1,1,90,1.0,0,0,28,32,87.5,826,650,10,10,100.0,6,6,100.0,12,16,75.0,2,0,37,29,37,23,111,65,2,3.0,3.0,7.0,4.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.77,8.0,12.0,66.7,26.0,5.0,34.6,31.0,6.0,50.0,42.0,12.0,0.0,0.0,5.0,5.0,27.0
Iñaki Peña,ESP,GK,Barcelona,La Liga,25,1999,14,13,1216,13.5,1,0,501,565,88.7,11230,6180,81,82,98.8,345,348,99.1,73,133,54.9,20,1,600,417,585,356,1553,857,59,17.0,1.26,48.0,31.0,68.8,3.0,23.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,-1.0,-0.09,20.0,71.0,28.2,493.0,70.0,10.5,24.0,72.0,26.4,31.0,128.0,2.0,1.6,88.0,6.51,24.0
Daniel Peretz,ISR,GK,Bayern Munich,Bundesliga,24,2000,3,3,270,3.0,1,0,79,103,76.7,1811,1173,14,14,100.0,49,49,100.0,16,40,40.0,2,0,106,63,97,67,338,177,10,5.0,1.67,7.0,2.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-1.0,-0.32,5.0,25.0,20.0,96.0,5.0,25.0,29.0,7.0,14.3,29.0,17.0,0.0,0.0,8.0,2.67,21.0
Simone Perilli,ITA,GK,Hellas Verona,Serie A,29,1995,1,1,90,1.0,0,0,9,23,39.1,367,314,0,0,0.0,3,4,75.0,6,19,31.6,1,0,27,20,26,12,81,67,1,1.0,1.0,6.0,5.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.04,3.0,16.0,18.8,17.0,2.0,64.7,48.0,6.0,83.3,62.0,18.0,1.0,5.6,3.0,3.0,22.0
Mattia Perin,ITA,GK,Juventus,Serie A,32,1992,5,5,450,5.0,0,0,145,182,79.7,3391,1965,30,30,100.0,92,92,100.0,23,60,38.3,2,0,185,161,185,123,703,460,6,3.0,0.6,16.0,13.0,81.3,3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.14,11.0,44.0,25.0,170.0,30.0,22.4,29.0,12.0,50.0,40.0,50.0,3.0,6.0,3.0,0.6,14.0
Lucas Perri,BRA,GK,Lyon,Ligue 1,27,1997,15,15,1350,15.0,1,0,336,468,71.8,8738,6134,69,69,100.0,183,188,97.3,84,209,40.2,9,1,508,393,504,289,1309,882,20,20.0,1.33,74.0,54.0,74.3,5.0,33.3,1.0,0.0,0.0,0.0,1.0,3.0,0.0,24.0,0.0,4.0,0.28,56.0,173.0,32.4,379.0,72.0,36.4,33.0,87.0,40.2,39.0,199.0,12.0,6.0,20.0,1.33,15.0
Đorđe Petrović,SRB,GK,Strasbourg,Ligue 1,25,1999,12,12,1080,12.0,1,0,471,600,78.5,11875,7976,100,100,100.0,256,261,98.1,115,238,48.3,9,0,638,400,631,432,1727,989,20,21.0,1.75,61.0,40.0,70.5,3.0,25.0,3.0,1.0,0.0,25.0,0.0,1.0,1.0,21.0,0.0,1.0,0.12,72.0,181.0,39.8,556.0,37.0,27.3,30.0,43.0,67.4,50.0,186.0,8.0,4.3,12.0,1.0,14.0
Jordan Pickford,ENG,GK,Everton,Premier League,30,1994,18,18,1620,18.0,4,0,472,742,63.6,15386,11817,75,75,100.0,185,187,98.9,211,471,44.8,19,1,799,515,760,408,2645,1586,18,24.0,1.33,77.0,51.0,68.8,7.0,38.9,0.0,2.0,0.0,100.0,0.0,4.0,0.0,23.0,0.0,0.0,-0.03,147.0,397.0,37.0,601.0,80.0,53.4,41.0,133.0,57.1,46.0,254.0,14.0,5.5,39.0,2.17,16.0
Semuel Pizzignacco,ITA,GK,Monza,Serie A,23,2001,3,3,270,3.0,0,0,77,103,74.8,2274,1708,14,14,100.0,34,35,97.1,28,53,52.8,1,0,107,87,103,53,203,107,3,2.0,0.67,7.0,5.0,71.4,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.12,22.0,46.0,47.8,80.0,5.0,42.5,33.0,23.0,52.2,43.0,44.0,0.0,0.0,4.0,1.33,19.0
Nick Pope,ENG,GK,Newcastle Utd,Premier League,32,1992,15,15,1350,15.0,2,0,314,441,71.2,7842,4985,76,76,100.0,155,157,98.7,81,205,39.5,16,4,492,399,485,268,1444,943,9,21.0,1.4,73.0,53.0,71.2,3.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,0.0,1.0,0.11,38.0,153.0,24.8,329.0,100.0,28.6,31.0,112.0,52.7,42.0,218.0,21.0,9.6,31.0,2.07,14.0
Ivan Provedel,ITA,GK,Lazio,Serie A,30,1994,17,17,1530,17.0,0,0,523,683,76.6,15021,10525,77,77,100.0,249,251,99.2,196,350,56.0,8,3,709,530,694,454,2524,1532,32,25.0,1.47,53.0,29.0,58.5,4.0,23.5,3.0,0.0,0.0,0.0,0.0,2.0,1.0,17.0,0.0,-6.0,-0.35,97.0,241.0,40.2,608.0,61.0,32.4,33.0,72.0,61.1,47.0,225.0,20.0,8.9,17.0,0.94,12.0
Hákon Rafn Valdimarsson,ISL,GK,Brentford,Premier League,23,2001,1,0,55,0.6,0,0,16,31,51.6,562,420,1,1,100.0,7,7,100.0,8,23,34.8,2,0,33,31,33,18,97,24,0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,6.0,20.0,30.0,21.0,3.0,47.6,39.0,10.0,100.0,62.0,9.0,2.0,22.2,0.0,0.0,5.0
Aaron Ramsdale,ENG,GK,Southampton,Premier League,26,1998,12,12,1080,12.0,1,0,376,533,70.5,9423,7225,120,120,100.0,150,159,94.3,100,247,40.5,7,2,566,408,556,384,1972,1219,7,22.0,1.83,71.0,49.0,70.4,2.0,16.7,1.0,0.0,0.0,0.0,0.0,7.0,0.0,22.0,0.0,0.0,0.02,68.0,204.0,33.3,475.0,62.0,36.6,33.0,57.0,52.6,41.0,173.0,12.0,6.9,10.0,0.83,12.0
Federico Ravaglia,ITA,GK,Bologna,Serie A,25,1999,6,6,540,6.0,0,0,187,234,79.9,4405,2750,37,37,100.0,116,116,100.0,33,80,41.3,2,0,240,188,236,152,810,429,7,6.0,1.0,13.0,7.0,53.8,3.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,-1.0,-0.16,19.0,59.0,32.2,206.0,30.0,22.8,28.0,28.0,42.9,38.0,61.0,8.0,13.1,5.0,0.83,11.0
David Raya,ESP,GK,Arsenal,Premier League,29,1995,19,19,1710,19.0,2,0,496,689,72.0,12696,8847,120,122,98.4,255,259,98.5,121,306,39.5,9,4,720,447,687,460,2268,1400,14,17.0,0.89,63.0,46.0,74.6,7.0,36.8,1.0,0.0,0.0,0.0,1.0,3.0,0.0,15.0,0.0,-1.0,-0.06,91.0,266.0,34.2,618.0,80.0,34.5,31.0,69.0,76.8,53.0,211.0,30.0,14.2,31.0,1.63,15.0
Pepe Reina,ESP,GK,Como,Serie A,42,1982,10,10,900,10.0,0,0,234,311,75.2,6015,4357,55,55,100.0,112,115,97.4,67,141,47.5,3,1,326,262,325,213,1202,642,11,12.0,1.2,35.0,23.0,68.6,2.0,20.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,-2.0,-0.23,39.0,103.0,37.9,285.0,35.0,33.7,32.0,26.0,26.9,29.0,131.0,2.0,1.5,5.0,0.5,12.0
Álex Remiro,ESP,GK,Real Sociedad,La Liga,29,1995,18,18,1620,18.0,0,0,475,623,76.2,13484,9466,71,71,100.0,251,256,98.0,153,292,52.4,7,3,659,557,657,366,1802,901,28,13.0,0.72,55.0,42.0,83.6,10.0,55.6,4.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,1.0,0.1,92.0,221.0,41.6,504.0,53.0,29.2,31.0,116.0,63.8,49.0,221.0,8.0,3.6,20.0,1.11,15.0
Guillaume Restes,FRA,GK,Toulouse,Ligue 1,19,2005,15,15,1331,14.8,0,0,318,430,74.0,7764,5311,80,81,98.8,163,165,98.8,73,182,40.1,10,0,459,359,455,279,1359,760,30,17.0,1.15,45.0,29.0,62.2,5.0,33.3,0.0,1.0,0.0,100.0,0.0,2.0,2.0,11.0,0.0,-3.0,-0.21,45.0,151.0,29.8,362.0,42.0,30.1,30.0,68.0,61.8,45.0,173.0,3.0,1.7,14.0,0.95,15.0
Leo Román,ESP,GK,Mallorca,La Liga,24,2000,5,5,450,5.0,0,0,104,170,61.2,3579,2854,5,5,100.0,50,52,96.2,49,113,43.4,0,0,184,149,183,88,514,293,5,7.0,1.4,25.0,18.0,76.0,2.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.3,33.0,91.0,36.3,140.0,12.0,52.1,41.0,30.0,60.0,50.0,75.0,4.0,5.3,2.0,0.4,12.0
Gerónimo Rulli,ARG,GK,Marseille,Ligue 1,32,1992,15,15,1350,15.0,0,0,491,589,83.4,10960,7190,126,127,99.2,269,272,98.9,92,185,49.7,14,1,642,522,636,377,1640,841,13,18.0,1.2,72.0,53.0,75.0,3.0,20.0,0.0,2.0,0.0,100.0,1.0,2.0,1.0,20.0,0.0,3.0,0.21,47.0,129.0,36.4,530.0,76.0,18.3,25.0,58.0,55.2,41.0,177.0,13.0,7.3,31.0,2.07,17.0
Frederik Rønnow,DEN,GK,Union Berlin,Bundesliga,32,1992,14,14,1260,14.0,2,0,332,460,72.2,9375,6557,55,56,98.2,172,173,99.4,103,226,45.6,6,2,496,375,489,311,1809,1119,14,15.0,1.07,52.0,35.0,73.1,4.0,28.6,1.0,2.0,0.0,66.7,1.0,1.0,0.0,18.0,0.0,3.0,0.26,65.0,177.0,36.7,398.0,76.0,33.9,33.0,59.0,71.2,53.0,198.0,22.0,11.1,12.0,0.86,12.0
José Sá,POR,GK,Wolves,Premier League,31,1993,12,12,1080,12.0,1,0,235,393,59.8,6638,4851,38,38,100.0,127,130,97.7,69,223,30.9,6,1,420,336,416,265,1676,998,12,25.0,2.08,59.0,35.0,62.7,3.0,25.0,3.0,1.0,0.0,25.0,1.0,4.0,2.0,18.0,0.0,-4.0,-0.34,45.0,188.0,23.9,331.0,52.0,42.0,36.0,62.0,79.0,54.0,206.0,14.0,6.8,20.0,1.67,16.0
Matvei Safonov,RUS,GK,Paris S-G,Ligue 1,25,1999,5,4,429,4.8,0,0,132,171,77.2,3322,2121,21,21,100.0,77,77,100.0,33,70,47.1,3,0,181,149,176,116,530,298,10,4.0,0.84,13.0,9.0,84.6,2.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-0.03,17.0,46.0,37.0,149.0,23.0,27.5,29.0,21.0,23.8,30.0,46.0,1.0,2.2,10.0,2.1,20.0
Brice Samba,FRA,GK,Lens,Ligue 1,30,1994,15,15,1350,15.0,1,0,415,512,81.1,11184,7765,89,90,98.9,185,188,98.4,138,229,60.3,6,2,549,405,540,323,1637,946,22,14.0,0.93,54.0,40.0,81.5,7.0,46.7,4.0,0.0,0.0,0.0,2.0,3.0,0.0,17.0,0.0,3.0,0.23,82.0,163.0,50.3,435.0,61.0,29.7,30.0,76.0,44.7,36.0,152.0,17.0,11.2,22.0,1.47,16.0
Robert Sánchez,ESP,GK,Chelsea,Premier League,27,1997,17,17,1530,17.0,4,0,497,680,73.1,11321,7521,129,130,99.2,275,284,96.8,91,258,35.3,13,4,721,526,714,481,2266,1441,31,20.0,1.18,78.0,57.0,78.2,4.0,23.5,3.0,1.0,0.0,25.0,0.0,1.0,0.0,22.0,0.0,2.0,0.14,46.0,200.0,23.0,631.0,102.0,28.7,31.0,45.0,42.2,37.0,170.0,23.0,13.5,40.0,2.35,15.0
Kauã Santos,BRA,GK,Eint Frankfurt,Bundesliga,21,2003,5,4,405,4.5,0,0,117,161,72.7,2625,1830,35,36,97.2,56,56,100.0,26,69,37.7,2,2,175,147,174,106,478,319,12,9.0,2.0,30.0,22.0,73.3,1.0,25.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,0.0,0.0,0.0,12.0,49.0,24.5,145.0,23.0,29.0,30.0,16.0,43.8,38.0,77.0,9.0,11.7,8.0,1.78,13.0
Razvan Sava,ROU,GK,Udinese,Serie A,22,2002,4,4,360,4.0,1,0,86,132,65.2,2319,1617,23,23,100.0,39,40,97.5,22,67,32.8,4,1,144,112,144,76,419,237,7,7.0,1.75,17.0,11.0,64.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,-0.22,20.0,60.0,33.3,105.0,7.0,40.0,34.0,27.0,66.7,47.0,97.0,1.0,1.0,7.0,1.75,16.0
Alexander Schwolow,GER,GK,Union Berlin,Bundesliga,32,1992,1,1,90,1.0,0,0,22,29,75.9,562,388,6,6,100.0,10,10,100.0,6,13,46.2,0,0,30,28,30,21,57,24,2,4.0,4.0,5.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,-1.09,4.0,11.0,36.4,24.0,6.0,33.3,30.0,5.0,60.0,47.0,10.0,0.0,0.0,0.0,0.0,12.0
Simone Scuffet,ITA,GK,Cagliari,Serie A,28,1996,12,12,1080,12.0,0,0,267,379,70.4,7869,6138,43,44,97.7,121,122,99.2,103,210,49.0,7,2,410,364,407,194,1004,616,17,22.0,1.83,54.0,32.0,66.7,1.0,8.3,4.0,0.0,0.0,0.0,0.0,6.0,0.0,18.0,0.0,-3.0,-0.28,62.0,163.0,38.0,281.0,49.0,40.6,35.0,95.0,51.6,41.0,176.0,5.0,2.8,7.0,0.58,12.0
Matz Sels,BEL,GK,Nott'Ham Forest,Premier League,32,1992,19,19,1710,19.0,2,0,259,504,51.4,9817,8522,41,41,100.0,78,80,97.5,140,377,37.1,12,0,550,410,540,283,1645,853,7,19.0,1.0,72.0,53.0,75.0,8.0,42.1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,0.01,128.0,358.0,35.8,363.0,38.0,69.1,45.0,135.0,79.3,55.0,328.0,13.0,4.0,4.0,0.21,7.0
Alen Sherri,ALB,GK,Cagliari,Serie A,27,1997,6,6,540,6.0,0,0,149,198,75.3,3658,2598,38,38,100.0,73,74,98.6,37,85,43.5,1,0,212,182,210,124,566,283,14,9.0,1.5,25.0,16.0,64.0,1.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,-0.07,25.0,67.0,37.3,150.0,20.0,32.7,30.0,48.0,37.5,34.0,64.0,4.0,6.3,5.0,0.83,12.0
Rui Silva,POR,GK,Betis,La Liga,30,1994,15,15,1350,15.0,1,0,412,524,78.6,10283,6196,66,66,100.0,250,250,100.0,93,203,45.8,7,0,553,412,552,334,1482,710,25,18.0,1.2,54.0,37.0,72.2,4.0,26.7,3.0,0.0,0.0,0.0,0.0,3.0,1.0,18.0,0.0,1.0,0.1,45.0,144.0,31.3,446.0,70.0,26.0,30.0,76.0,36.8,35.0,194.0,10.0,5.2,31.0,2.07,18.0
Unai Simón,ESP,GK,Athletic Club,La Liga,27,1997,2,2,180,2.0,0,0,48,70,68.6,1296,969,7,7,100.0,29,29,100.0,12,34,35.3,1,1,74,59,74,39,192,113,4,2.0,1.0,6.0,4.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.05,8.0,27.0,29.6,59.0,10.0,32.2,33.0,11.0,72.7,53.0,32.0,1.0,3.1,4.0,2.0,16.0
