Player,Nationality,Position,Team,Competition,Age,Born,Matches,Starts,Minutes,90s,Yellow_Cards,Red_Cards,Passes_Completed,Passes_Attempted,Pass_Completion_%,Total_Pass_Distance,Total_Progressive_Distance,Short_Passes_Completed,Short_Passes_Attempted,Short_Pass_Completion_%,Medium_Passes_Completed,Medium_Passes_Attempted,Medium_Pass_Completion_%,Long_Passes_Completed,Long_Passes_Attempted,Long_Pass_Completion_%,Clearances,Errors,Touches,Touches_Defensive_Penalty_Area,Touches_Defensive_Third,Carries,Carries_Total_Distance,Carries_Progressive_Distance,Ball_Recoveries,Goals_Against,Goals_Against_per_90,Shots_On_Target_Against,Saves,Save_%,Clean_Sheets,Clean_Sheet_%,Penalty_Kicks_Allowed,Penalty_Kicks_Saved,Penalty_Kicks_Missed,Penalty_Kicks_Save_%,Free_Kick_Goals_Against,Corner_Kick_Goals_Against,Own_Goals_Against,Post-Shot_xG,Post-Shot_xG_per_Shot_on_Target,Post-Shot_xG_+/-,Post-Shot_xG_per_90,Launches_Completed,Launches_Attempted,Launches_Completion_%,Passes_Attempted(GK),Throws_Attempted,Launch_%,Average_Pass_Length,Goal_Kicks,Goal_Kicks_Launch_%,Average_Length_Goal_Kicks,Crosses_Faced,Crosses_Stopped,Crosses_Stopped_%,Actions_Outside_Penalty_Area,Actions_Outside_Penalty_Area_per_90,Defensive_Actions_Average_Distance
Paulo Gazzaniga,ARG,GK,Girona,La Liga,32,1992,18,18,1620,18.0,3,0,505,610,82.8,11719,7459,114,114,100.0,295,301,98.0,95,191,49.7,5,1,638,554,634,381,1776,1054,21,25.0,1.39,59.0,32.0,57.6,5.0,27.8,0.0,2.0,0.0,100.0,1.0,1.0,0.0,18.0,0.0,-6.0,-0.37,33.0,121.0,27.3,527.0,69.0,17.6,28.0,81.0,34.6,36.0,188.0,16.0,8.5,18.0,1.0,14.0
David De Gea,ESP,GK,Fiorentina,Serie A,34,1990,14,14,1260,14.0,0,0,329,447,73.6,10127,7540,47,47,100.0,143,144,99.3,139,253,54.9,3,0,476,399,475,246,1188,696,11,12.0,0.86,56.0,42.0,78.6,6.0,42.9,0.0,2.0,0.0,100.0,0.0,0.0,0.0,14.0,0.0,2.0,0.14,84.0,196.0,42.9,344.0,51.0,44.2,36.0,100.0,44.0,40.0,187.0,6.0,3.2,9.0,0.64,12.0
Pierluigi Gollini,ITA,GK,Genoa,Serie A,29,1995,7,7,630,7.0,1,0,206,250,82.4,5777,4236,34,34,100.0,108,108,100.0,64,108,59.3,2,1,269,220,268,131,705,467,5,15.0,2.14,32.0,16.0,62.5,1.0,14.3,3.0,1.0,0.0,25.0,0.0,1.0,0.0,12.0,0.0,-2.0,-0.39,33.0,75.0,44.0,198.0,21.0,24.7,30.0,52.0,50.0,44.0,92.0,2.0,2.2,2.0,0.29,9.0
Kamil Grabara,POL,GK,Wolfsburg,Bundesliga,25,1999,15,15,1350,15.0,2,0,384,589,65.2,11706,7995,53,53,100.0,185,186,99.5,145,345,42.0,4,1,635,425,615,363,1696,1050,22,28.0,1.87,78.0,50.0,65.4,3.0,20.0,1.0,1.0,0.0,50.0,0.0,7.0,1.0,30.0,0.0,3.0,0.24,94.0,288.0,32.6,518.0,55.0,46.5,38.0,67.0,70.1,54.0,207.0,6.0,2.9,8.0,0.53,13.0
Dominik Greif,SVK,GK,Mallorca,La Liga,27,1997,14,14,1260,14.0,1,0,331,476,69.5,10501,8255,56,56,100.0,153,154,99.4,122,262,46.6,5,1,498,412,493,283,1374,770,14,14.0,1.0,45.0,31.0,73.3,4.0,28.6,2.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,-3.0,-0.22,92.0,224.0,41.1,380.0,50.0,41.8,37.0,92.0,70.7,51.0,222.0,6.0,2.7,5.0,0.36,10.0
Vicente Guaita,ESP,GK,Celta Vigo,La Liga,37,1987,14,14,1260,14.0,0,0,310,381,81.4,7639,4710,60,61,98.4,165,166,99.4,79,147,53.7,7,0,407,373,405,247,1385,856,32,19.0,1.36,50.0,31.0,62.0,4.0,28.6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,0.0,-3.0,-0.22,31.0,92.0,33.7,301.0,87.0,20.6,28.0,79.0,38.0,35.0,199.0,19.0,9.5,15.0,1.07,13.0
Péter Gulácsi,HUN,GK,Rb Leipzig,Bundesliga,34,1990,14,14,1215,13.5,0,0,339,407,83.3,8080,4955,79,79,100.0,173,177,97.7,87,151,57.6,4,1,447,370,435,228,946,484,11,19.0,1.41,69.0,49.0,72.5,8.0,57.1,0.0,1.0,0.0,100.0,1.0,3.0,0.0,19.0,0.0,0.0,0.06,31.0,87.0,35.6,312.0,53.0,18.9,27.0,95.0,29.5,32.0,186.0,9.0,4.8,5.0,0.37,12.0
Dean Henderson,ENG,GK,Crystal Palace,Premier League,27,1997,19,19,1710,19.0,2,0,373,612,60.9,9825,6376,93,93,100.0,185,185,100.0,91,329,27.7,13,0,667,538,665,380,2247,1028,14,27.0,1.42,81.0,55.0,66.7,4.0,21.1,0.0,1.0,0.0,100.0,0.0,2.0,2.0,27.0,0.0,2.0,0.14,72.0,302.0,23.8,471.0,59.0,49.0,39.0,140.0,50.7,42.0,284.0,14.0,4.9,26.0,1.37,15.0
Mads Hermansen,DEN,GK,Leicester City,Premier League,24,2000,16,16,1395,15.5,0,0,382,596,64.1,9898,7381,99,101,98.0,166,174,95.4,117,317,36.9,8,2,644,487,619,413,2064,1073,9,31.0,2.0,93.0,64.0,67.7,1.0,6.3,1.0,0.0,0.0,0.0,0.0,2.0,2.0,34.0,0.0,5.0,0.37,68.0,247.0,27.5,500.0,87.0,36.8,33.0,93.0,67.7,47.0,267.0,18.0,6.7,14.0,0.9,12.0
Sergio Herrera,ESP,GK,Osasuna,La Liga,31,1993,18,18,1620,18.0,3,0,416,611,68.1,13771,10922,43,44,97.7,200,203,98.5,173,362,47.8,15,1,668,526,663,328,1811,952,13,27.0,1.5,90.0,64.0,71.1,5.0,27.8,1.0,0.0,0.0,0.0,0.0,2.0,1.0,28.0,0.0,2.0,0.14,121.0,301.0,40.2,480.0,57.0,44.6,38.0,129.0,67.4,51.0,279.0,19.0,6.8,45.0,2.5,19.0
